Timestamp,BTC Price,ETHBTC,Fees
2020-07-27,11047.58,0.029191,0.8803654288381411
2020-10-27,13629.38,0.029584,0.9113321216695507
2020-11-16,16707.07,0.027555,0.9963197976922175
2020-12-16,21346.8,0.029864,1.0351783595912099
2020-12-26,26508.83,0.024055,1.0457364798703632
2021-01-02,32199.91,0.024062,1.033643541285974
2021-01-07,39498.92,0.031048,1.0559587168778617
2021-02-11,48060.21,0.037235,1.0846535255877272
2021-03-11,57844.52,0.031599,1.2556754365485265
2024-03-11,72153.8,0.0564,1.461561555137099
2024-11-11,88728.9,0.03803,2.7127228996617454
2025-04-07,79140.0,0.01961,4.504678855217321
2025-05-20,106800.1,0.02363,2.9419917007215948
